playerId,Name,HR,AVG,OPS,team
621458,Edwin Rios,1,.071,.449,Chicago Cubs
675986,Canaan Smith-Njigba,0,.125,.435,Pittsburgh Pirates
677587,Brayan Rocchio,0,.214,.428,Cleveland Guardians
670156,Miles Mastrobuoni,0,.148,.426,Chicago Cubs
666197,Grae Kessinger,0,.125,.425,Houston Astros
543939,Kolten Wong,0,.153,.424,Seattle Mariners
676356,Jonny Deluca,0,.188,.423,Los Angeles Dodgers
623507,Josh Lester,0,.211,.422,Baltimore Orioles
621438,Tyrone Taylor,1,.160,.419,Milwaukee Brewers
665120,Jared Walsh,0,.111,.418,Los Angeles Angels
660644,Vidal Brujan,0,.182,.411,Tampa Bay Rays
663527,Tyler Nevin,1,.128,.410,Detroit Tigers
682073,David Hensley,1,.130,.403,Houston Astros
607461,Matt Beaty,0,.200,.400,San Francisco Giants
608703,Matt Reynolds,0,.200,.400,Cincinnati Reds
598265,Jackie Bradley Jr.,1,.133,.398,Kansas City Royals
506702,Sandy Leon,0,.146,.381,Texas Rangers
547379,Roberto Perez,0,.133,.368,San Francisco Giants
686759,TJ Hopkins,0,.167,.367,Cincinnati Reds
672820,Lenyn Sosa,1,.132,.366,Chicago White Sox
595956,Cam Gallagher,0,.138,.342,Cleveland Guardians
605131,Austin Barnes,0,.107,.339,Los Angeles Dodgers
621532,Anthony Bemboom,0,.000,.333,Baltimore Orioles
621433,Brett Phillips,0,.077,.327,Los Angeles Angels
572138,Jon Singleton,0,.103,.326,Milwaukee Brewers
669450,Cooper Hummel,0,.087,.322,Seattle Mariners
572008,Chris Owings,0,.160,.320,Pittsburgh Pirates
644433,Chadwick Tromp,0,.125,.313,Atlanta Braves
642201,Eli White,0,.071,.306,Atlanta Braves
661531,Brian Serven,0,.130,.304,Colorado Rockies
641796,Tim Locastro,0,.000,.300,New York Mets
642180,Tyler Wade,0,.067,.289,Oakland Athletics
663967,Cesar Salazar,0,.118,.285,Houston Astros
621512,Tomas Nido,0,.125,.278,New York Mets
664058,David Fletcher,0,.125,.250,Los Angeles Angels
670276,Cal Stevenson,0,.000,.250,San Francisco Giants
650619,Meibrys Viloria,0,.000,.250,Cleveland Guardians
668952,Ryan Kreidler,0,.111,.222,Detroit Tigers
669065,Kyle Stowers,0,.067,.219,Baltimore Orioles
664238,Dylan Moore,0,.000,.214,Seattle Mariners
663897,Luke Williams,0,.100,.200,Los Angeles Dodgers
681987,Nate Eaton,0,.058,.167,Kansas City Royals
656669,Jordan Luplow,0,.000,.143,Toronto Blue Jays
501303,Ehire Adrianza,0,.000,.091,Atlanta Braves
608348,Carson Kelly,0,.000,.067,Arizona Diamondbacks
686654,Ty Adcock,0,.000,.000,Seattle Mariners
518397,Scott Alexander,0,.000,.000,San Francisco Giants
595751,Jorge Alfaro,0,.000,.000,Colorado Rockies
641329,Bryan Baker,0,.000,.000,Baltimore Orioles
676625,Rylan Bannon,0,.000,.000,Houston Astros
668663,Tres Barrera,0,.000,.000,St. Louis Cardinals
657508,Mike Baumann,0,.000,.000,Baltimore Orioles
621244,Jose Berrios,0,.000,.000,Toronto Blue Jays
666374,Matt Brash,0,.000,.000,Seattle Mariners
656266,J.B. Bukauskas,0,.000,.000,Seattle Mariners
650893,Genesis Cabrera,0,.000,.000,St. Louis Cardinals
666974,Yennier Cano,0,.000,.000,Baltimore Orioles
612434,Miguel Castro,0,.000,.000,Arizona Diamondbacks
605177,Andrew Chafin,0,.000,.000,Arizona Diamondbacks
543056,Danny Coulombe,0,.000,.000,Baltimore Orioles
676710,Kutter Crawford,0,.000,.000,Boston Red Sox
664747,Alexis Diaz,0,.000,.000,Cincinnati Reds
666808,Camilo Doval,0,.000,.000,San Francisco Giants
641553,Adam Engel,0,.000,.000,San Diego Padres
657571,Caleb Ferguson,0,.000,.000,Los Angeles Dodgers
664314,Estevan Florial,0,.000,.000,New York Yankees
664139,Ian Gibaut,0,.000,.000,Cincinnati Reds
502043,Kyle Gibson,0,.000,.000,Baltimore Orioles
670810,Logan Gillaspie,0,.000,.000,Baltimore Orioles
656464,Kevin Ginkel,0,.000,.000,Arizona Diamondbacks
624647,Victor Gonzalez,0,.000,.000,Los Angeles Dodgers
660813,Brusdar Graterol,0,.000,.000,Los Angeles Dodgers
592351,Jon Gray,0,.000,.000,Texas Rangers
571740,Billy Hamilton,0,.000,.000,Chicago White Sox
621368,Taylor Hearn,0,.000,.000,Texas Rangers
664854,Ryan Helsley,0,.000,.000,St. Louis Cardinals
660634,Yonny Hernandez,0,.000,.000,Los Angeles Dodgers
488984,Tommy Hunter,0,.000,.000,New York Mets
686753,Drey Jameson,0,.000,.000,Arizona Diamondbacks
445276,Kenley Jansen,0,.000,.000,Boston Red Sox
641729,Joe Jimenez,0,.000,.000,Atlanta Braves
572955,Pierce Johnson,0,.000,.000,Colorado Rockies
667463,John King,0,.000,.000,Texas Rangers
656627,Mark Kolozsvary,0,.000,.000,Baltimore Orioles
641835,Tim Mayza,0,.000,.000,Toronto Blue Jays
543518,Scott McGough,0,.000,.000,Arizona Diamondbacks
571946,Shelby Miller,0,.000,.000,Los Angeles Dodgers
663558,Jovani Moran,0,.000,.000,Minnesota Twins
682171,Penn Murfee,0,.000,.000,Seattle Mariners
666310,Bo Naylor,0,.000,.000,Cleveland Guardians
608360,Chris Okey,0,.000,.000,Los Angeles Angels
672335,Cionel Perez,0,.000,.000,Baltimore Orioles
601713,Nick Pivetta,0,.000,.000,Boston Red Sox
666142,Cole Ragans,0,.000,.000,Texas Rangers
643511,Tyler Rogers,0,.000,.000,San Francisco Giants
605447,Jordan Romano,0,.000,.000,Toronto Blue Jays
614179,Jose Ruiz,0,.000,.000,Arizona Diamondbacks
663485,Cole Sands,0,.000,.000,Minnesota Twins
642048,Tayler Saucedo,0,.000,.000,Seattle Mariners
622250,Josh Sborz,0,.000,.000,Texas Rangers
670167,John Schreiber,0,.000,.000,Boston Red Sox
605463,Tayler Scott,0,.000,.000,Los Angeles Dodgers
623149,Paul Sewald,0,.000,.000,Seattle Mariners
669699,Braden Shewmake,0,.000,.000,Atlanta Braves
608371,Lucas Sims,0,.000,.000,Cincinnati Reds
622098,Drew Smith,0,.000,.000,New York Mets
669256,Nick Solak,0,.000,.000,Detroit Tigers
608718,Brent Suter,0,.000,.000,Colorado Rockies
593619,Domingo Tapia,0,.000,.000,San Diego Padres
623437,Justin Topa,0,.000,.000,Seattle Mariners
681911,Alex Vesia,0,.000,.000,Los Angeles Dodgers
