playerId,Name,win,lose,era,whip,team
607192,Tyler Glasnow,2,0,3.43,1.29,Tampa Bay Rays
669203,Corbin Burnes,5,4,3.44,1.10,Milwaukee Brewers
657571,Caleb Ferguson,4,3,3.46,1.31,Los Angeles Dodgers
543272,Brad Hand,2,1,3.46,1.35,Colorado Rockies
656814,Luis F. Ortiz,0,0,3.46,1.31,Philadelphia Phillies
605483,Blake Snell,3,6,3.48,1.29,San Diego Padres
621112,Paul Blackburn,0,0,3.48,1.35,Oakland Athletics
687330,Kevin Kelly,3,1,3.48,1.32,Tampa Bay Rays
623433,Nick Anderson,4,0,3.49,1.02,Atlanta Braves
519151,Ryan Pressly,1,2,3.49,1.02,Houston Astros
669456,Shane Bieber,5,4,3.51,1.22,Cleveland Guardians
668941,JoJo Romero,0,0,3.52,1.17,St. Louis Cardinals
673540,Kodai Senga,6,4,3.53,1.33,New York Mets
608337,Lucas Giolito,5,4,3.54,1.24,Chicago White Sox
641703,Brent Honeywell,2,4,3.57,1.19,San Diego Padres
518397,Scott Alexander,5,0,3.57,0.88,San Francisco Giants
622772,Jimmy Cordero,3,2,3.58,1.01,New York Yankees
592767,Drew Smyly,6,4,3.59,1.20,Chicago Cubs
676979,Garrett Crochet,0,1,3.60,2.10,Chicago White Sox
643377,Griffin Jax,3,6,3.60,1.20,Minnesota Twins
450203,Charlie Morton,5,6,3.60,1.44,Atlanta Braves
643493,Austin Pruitt,1,4,3.60,1.45,Oakland Athletics
656605,Mitch Keller,8,3,3.62,1.14,Pittsburgh Pirates
600917,Jose Leclerc,0,1,3.63,1.34,Texas Rangers
656730,Trevor Megill,0,0,3.65,1.22,Milwaukee Brewers
669211,Keegan Akin,2,1,3.66,1.42,Baltimore Orioles
670102,Bowden Francis,0,0,3.68,1.36,Toronto Blue Jays
677161,Zack Kelly,0,0,3.68,1.64,Boston Red Sox
667755,Jose Soriano,0,0,3.68,0.82,Los Angeles Angels
641729,Joe Jimenez,0,2,3.70,1.27,Atlanta Braves
612434,Miguel Castro,4,2,3.72,1.17,Arizona Diamondbacks
